0	nan
1	nan
2	nan
3	nan
4	nan
5	nan
6	nan
7	nan
8	nan
9	nan
10	-1.8113337333203503
11	-0.4930468619906263
12	-1.1964197725406012
13	-0.37526063194343995
14	-2.6477399538919144
15	-2.3414742454146644
16	-3.132285231202277
17	-3.027898896765267
18	-3.460973432483902
19	-3.991582976592337
20	-3.119743765590728
21	-2.8016192364640182
22	-3.117564122560024
23	-3.3141766783748143
24	-3.5608071331105164
25	-3.2789486259477134
26	-3.374339545093154
27	-3.0865762142120454
28	-3.3720883368095413
29	-3.202833403388635
30	-3.202833403388636
