0	nan
1	nan
2	nan
3	nan
4	nan
5	nan
6	nan
7	nan
8	nan
9	nan
10	-10.522119983008722
11	-10.855110847897127
12	-10.46717803041292
13	-10.147555501476731
14	-10.682074671666088
15	-9.988121962904199
16	-10.344702411550156
17	-10.781882681530423
18	-11.061102152355831
19	-10.475012730884444
20	-10.417724675484175
21	-10.901246960824894
22	-10.735322955902884
23	-11.467903894394311
24	-11.57594196478795
25	-11.128537294970467
26	-10.723802050469018
27	-10.816172356346321
28	-10.877776786161736
29	-10.72504185612149
30	-10.847192801462628
31	-10.929702324900507
32	-11.181532300744339
33	-11.30805515003802
34	-11.459268652493583
35	-11.321672332586123
36	-11.519844445367111
37	-11.4466208688292
38	-11.697993735648687
39	-11.858076586980633
40	-11.878008256229375
41	-12.105417459093717
42	-11.972996056325762
43	-11.80548470983211
44	-11.666194438320632
45	-11.736861867250303
46	-11.540748388231593
47	-11.592655063996316
48	-11.540217917203591
