# N_blocks dG1_mean dG1_std dG2_mean dG2_std
3.000000000000000000e+00 -4.406657511656715265e+00 6.692906132145429732e-01 -4.532844192755510981e+00 6.613220201969041145e-01
4.000000000000000000e+00 -4.017263624071560457e+00 1.019343018033650683e+00 -4.147284310280981323e+00 1.017106193890666033e+00
5.000000000000000000e+00 -4.371644315854696927e+00 4.990713948147718071e-01 -4.500873549501060999e+00 4.924132019798432847e-01
6.000000000000000000e+00 -4.214360754984450175e+00 6.636661663190085436e-01 -4.341478492673098266e+00 6.606299169912318581e-01
7.000000000000000000e+00 -4.034130033510700208e+00 6.948027446023420373e-01 -4.166065783206603257e+00 6.869443771752758998e-01
8.000000000000000000e+00 -3.815252100749729536e+00 7.575598852045148934e-01 -3.956643998883307312e+00 7.478291476116550873e-01
9.000000000000000000e+00 -3.919549346125021927e+00 6.164782040251964856e-01 -4.057757128913867639e+00 6.045603987098059351e-01
1.000000000000000000e+01 -3.796071123658632196e+00 6.474690863103391703e-01 -3.917022783320061485e+00 6.543851048173625617e-01
1.100000000000000000e+01 -2.948359187148140492e+00 1.072874919435524710e+00 -3.274231403199871604e+00 9.429298631962108601e-01
1.200000000000000000e+01 -3.314027144382903689e+00 7.617760145342984401e-01 -3.467638304913907898e+00 7.519723564916265257e-01
1.300000000000000000e+01 -3.366388592460908491e+00 8.715311447668089295e-01 -3.625334235333231625e+00 7.728145845886903453e-01
1.400000000000000000e+01 -3.309271730500970232e+00 8.568672284334780676e-01 -3.574330186530850995e+00 7.637298446628203452e-01
1.500000000000000000e+01 -2.937843078340546921e+00 9.799722025669490577e-01 -3.198869088704091812e+00 9.111473739007126538e-01
1.600000000000000000e+01 -3.200253326339256077e+00 7.770435070190826465e-01 -3.453760999108755225e+00 7.052140800631456763e-01
1.700000000000000000e+01 -2.815448232275027163e+00 8.428470564251954178e-01 -3.026976504632021836e+00 8.121167399781344942e-01
1.800000000000000000e+01 -2.408818129852301926e+00 9.608649834454865424e-01 -2.556838050594351319e+00 9.642861477016969607e-01
1.900000000000000000e+01 -2.298933946695311370e+00 1.033672144189717201e+00 -2.655710438881815794e+00 9.216318663864996319e-01
2.000000000000000000e+01 -2.404386753032889512e+00 8.562699150582006036e-01 -2.588946683113516833e+00 8.502096782645370832e-01
2.100000000000000000e+01 -2.646616785976843911e+00 8.225398740649864093e-01 -2.815698761070702716e+00 8.095868573375771815e-01
2.200000000000000000e+01 -1.916977623562331479e+00 9.934511706832351852e-01 -2.273879078913351393e+00 9.132311378875233032e-01
2.300000000000000000e+01 -2.104562357182315768e+00 9.178195505007945565e-01 -2.461184546832654974e+00 8.382985284930785097e-01
2.400000000000000000e+01 -2.036360233308223133e+00 9.323634423777494851e-01 -2.398862778520526096e+00 8.544706634934797762e-01
